id_franja,id_ciclo,numero_franja,n_modulos,operativa,fecha_on,fecha_off,tonelaje_t,area_m2,altura_m,ley_cu_total_pct,ley_cu_soluble_pct,ley_cu_residual_pct,humedad_residual_pct,pct_goethita,pct_jarosita,pct_clorita,pct_atacamita,pct_crisocola,pct_cuarzo,pct_feldespatos,pct_arcillas,pct_mn_oxidos
PAD-01-C01-F01,PAD-01-C01,1,10,False,,,1000000,104167.0,6.0,0.361,0.208,,9.8,9.81,4.29,7.35,5.09,4.25,33.4,16.93,10.63,1.33
PAD-01-C01-F02,PAD-01-C01,2,10,True,2024-01-27,2024-05-26,1000000,104167.0,6.0,0.768,0.436,0.1279,11.4,4.39,2.44,6.13,3.9,2.23,38.97,22.4,12.32,1.36
PAD-01-C01-F03,PAD-01-C01,3,10,True,2024-01-25,2024-05-24,1000000,104167.0,6.0,0.771,0.525,0.1868,8.4,6.27,1.15,8.3,1.25,9.96,39.67,13.8,5.82,1.65
PAD-01-C01-F04,PAD-01-C01,4,10,True,2024-02-17,2024-06-16,1000000,104167.0,6.0,0.609,0.372,0.1124,11.9,11.71,1.86,6.09,3.48,7.8,29.97,12.59,15.47,1.36
PAD-01-C01-F05,PAD-01-C01,5,10,True,2024-03-03,2024-07-01,1000000,104167.0,6.0,0.654,0.365,0.1254,11.1,4.7,3.5,5.29,1.95,7.68,34.89,23.07,8.2,0.56
PAD-01-C01-F06,PAD-01-C01,6,10,True,2024-03-15,2024-07-13,1000000,104167.0,6.0,0.444,0.354,0.1144,8.5,4.99,3.93,6.41,3.07,7.53,36.09,16.91,6.82,1.2
PAD-01-C01-F07,PAD-01-C01,7,10,True,2024-04-02,2024-07-31,1000000,104167.0,6.0,0.686,0.411,0.1317,9.5,7.27,2.56,2.3,3.85,3.69,39.65,22.02,11.21,0.93
PAD-01-C02-F01,PAD-01-C02,1,10,True,2024-08-30,2024-12-28,1000000,104167.0,6.0,0.393,0.302,,11.0,6.4,0.89,5.88,1.81,4.68,35.7,19.44,12.55,0.85
PAD-01-C02-F02,PAD-01-C02,2,10,True,2024-09-13,2025-01-11,1000000,104167.0,6.0,0.697,0.387,,10.9,4.45,2.98,6.23,3.38,4.45,33.52,18.32,11.19,1.04
PAD-01-C02-F03,PAD-01-C02,3,10,True,2024-09-23,2025-01-21,1000000,104167.0,6.0,0.69,0.417,,9.4,12.54,1.28,3.76,2.18,11.05,33.26,16.19,10.72,0.99
PAD-01-C02-F04,PAD-01-C02,4,10,False,,,1000000,104167.0,6.0,0.777,0.449,,12.0,6.54,2.8,4.91,0.7,7.94,35.96,15.57,13.05,0.9
PAD-01-C02-F05,PAD-01-C02,5,10,True,2024-10-17,2025-02-14,1000000,104167.0,6.0,0.683,0.474,,10.3,8.76,1.15,4.02,2.34,8.95,34.28,20.46,5.86,0.66
PAD-01-C02-F06,PAD-01-C02,6,10,True,2024-11-08,2025-03-08,1000000,104167.0,6.0,0.567,0.437,,10.7,6.28,3.48,4.68,0.91,6.12,31.45,24.46,6.34,1.36
PAD-01-C02-F07,PAD-01-C02,7,10,True,2024-10-11,2025-02-08,1000000,104167.0,6.0,0.433,0.263,,10.2,12.53,1.41,4.03,1.49,10.7,37.83,12.97,10.09,0.25
