id_modulo,id_franja,numero_modulo,area_m2,tonelaje_estimado_t
PAD-01-C01-F01-M01,PAD-01-C01-F01,1,10000.0,96000.0
PAD-01-C01-F01-M02,PAD-01-C01-F01,2,10000.0,96000.0
PAD-01-C01-F01-M03,PAD-01-C01-F01,3,10000.0,96000.0
PAD-01-C01-F01-M04,PAD-01-C01-F01,4,10000.0,96000.0
PAD-01-C01-F01-M05,PAD-01-C01-F01,5,10000.0,96000.0
PAD-01-C01-F01-M06,PAD-01-C01-F01,6,10000.0,96000.0
PAD-01-C01-F01-M07,PAD-01-C01-F01,7,10000.0,96000.0
PAD-01-C01-F01-M08,PAD-01-C01-F01,8,10000.0,96000.0
PAD-01-C01-F01-M09,PAD-01-C01-F01,9,10000.0,96000.0
PAD-01-C01-F01-M10,PAD-01-C01-F01,10,14167.0,136000.0
PAD-01-C01-F02-M01,PAD-01-C01-F02,1,10000.0,96000.0
PAD-01-C01-F02-M02,PAD-01-C01-F02,2,10000.0,96000.0
PAD-01-C01-F02-M03,PAD-01-C01-F02,3,10000.0,96000.0
PAD-01-C01-F02-M04,PAD-01-C01-F02,4,10000.0,96000.0
PAD-01-C01-F02-M05,PAD-01-C01-F02,5,10000.0,96000.0
PAD-01-C01-F02-M06,PAD-01-C01-F02,6,10000.0,96000.0
PAD-01-C01-F02-M07,PAD-01-C01-F02,7,10000.0,96000.0
PAD-01-C01-F02-M08,PAD-01-C01-F02,8,10000.0,96000.0
PAD-01-C01-F02-M09,PAD-01-C01-F02,9,10000.0,96000.0
PAD-01-C01-F02-M10,PAD-01-C01-F02,10,14167.0,136000.0
PAD-01-C01-F03-M01,PAD-01-C01-F03,1,10000.0,96000.0
PAD-01-C01-F03-M02,PAD-01-C01-F03,2,10000.0,96000.0
PAD-01-C01-F03-M03,PAD-01-C01-F03,3,10000.0,96000.0
PAD-01-C01-F03-M04,PAD-01-C01-F03,4,10000.0,96000.0
PAD-01-C01-F03-M05,PAD-01-C01-F03,5,10000.0,96000.0
PAD-01-C01-F03-M06,PAD-01-C01-F03,6,10000.0,96000.0
PAD-01-C01-F03-M07,PAD-01-C01-F03,7,10000.0,96000.0
PAD-01-C01-F03-M08,PAD-01-C01-F03,8,10000.0,96000.0
PAD-01-C01-F03-M09,PAD-01-C01-F03,9,10000.0,96000.0
PAD-01-C01-F03-M10,PAD-01-C01-F03,10,14167.0,136000.0
PAD-01-C01-F04-M01,PAD-01-C01-F04,1,10000.0,96000.0
PAD-01-C01-F04-M02,PAD-01-C01-F04,2,10000.0,96000.0
PAD-01-C01-F04-M03,PAD-01-C01-F04,3,10000.0,96000.0
PAD-01-C01-F04-M04,PAD-01-C01-F04,4,10000.0,96000.0
PAD-01-C01-F04-M05,PAD-01-C01-F04,5,10000.0,96000.0
PAD-01-C01-F04-M06,PAD-01-C01-F04,6,10000.0,96000.0
PAD-01-C01-F04-M07,PAD-01-C01-F04,7,10000.0,96000.0
PAD-01-C01-F04-M08,PAD-01-C01-F04,8,10000.0,96000.0
PAD-01-C01-F04-M09,PAD-01-C01-F04,9,10000.0,96000.0
PAD-01-C01-F04-M10,PAD-01-C01-F04,10,14167.0,136000.0
PAD-01-C01-F05-M01,PAD-01-C01-F05,1,10000.0,96000.0
PAD-01-C01-F05-M02,PAD-01-C01-F05,2,10000.0,96000.0
PAD-01-C01-F05-M03,PAD-01-C01-F05,3,10000.0,96000.0
PAD-01-C01-F05-M04,PAD-01-C01-F05,4,10000.0,96000.0
PAD-01-C01-F05-M05,PAD-01-C01-F05,5,10000.0,96000.0
PAD-01-C01-F05-M06,PAD-01-C01-F05,6,10000.0,96000.0
PAD-01-C01-F05-M07,PAD-01-C01-F05,7,10000.0,96000.0
PAD-01-C01-F05-M08,PAD-01-C01-F05,8,10000.0,96000.0
PAD-01-C01-F05-M09,PAD-01-C01-F05,9,10000.0,96000.0
PAD-01-C01-F05-M10,PAD-01-C01-F05,10,14167.0,136000.0
PAD-01-C01-F06-M01,PAD-01-C01-F06,1,10000.0,96000.0
PAD-01-C01-F06-M02,PAD-01-C01-F06,2,10000.0,96000.0
PAD-01-C01-F06-M03,PAD-01-C01-F06,3,10000.0,96000.0
PAD-01-C01-F06-M04,PAD-01-C01-F06,4,10000.0,96000.0
PAD-01-C01-F06-M05,PAD-01-C01-F06,5,10000.0,96000.0
PAD-01-C01-F06-M06,PAD-01-C01-F06,6,10000.0,96000.0
PAD-01-C01-F06-M07,PAD-01-C01-F06,7,10000.0,96000.0
PAD-01-C01-F06-M08,PAD-01-C01-F06,8,10000.0,96000.0
PAD-01-C01-F06-M09,PAD-01-C01-F06,9,10000.0,96000.0
PAD-01-C01-F06-M10,PAD-01-C01-F06,10,14167.0,136000.0
PAD-01-C01-F07-M01,PAD-01-C01-F07,1,10000.0,96000.0
PAD-01-C01-F07-M02,PAD-01-C01-F07,2,10000.0,96000.0
PAD-01-C01-F07-M03,PAD-01-C01-F07,3,10000.0,96000.0
PAD-01-C01-F07-M04,PAD-01-C01-F07,4,10000.0,96000.0
PAD-01-C01-F07-M05,PAD-01-C01-F07,5,10000.0,96000.0
PAD-01-C01-F07-M06,PAD-01-C01-F07,6,10000.0,96000.0
PAD-01-C01-F07-M07,PAD-01-C01-F07,7,10000.0,96000.0
PAD-01-C01-F07-M08,PAD-01-C01-F07,8,10000.0,96000.0
PAD-01-C01-F07-M09,PAD-01-C01-F07,9,10000.0,96000.0
PAD-01-C01-F07-M10,PAD-01-C01-F07,10,14167.0,136000.0
PAD-01-C02-F01-M01,PAD-01-C02-F01,1,10000.0,96000.0
PAD-01-C02-F01-M02,PAD-01-C02-F01,2,10000.0,96000.0
PAD-01-C02-F01-M03,PAD-01-C02-F01,3,10000.0,96000.0
PAD-01-C02-F01-M04,PAD-01-C02-F01,4,10000.0,96000.0
PAD-01-C02-F01-M05,PAD-01-C02-F01,5,10000.0,96000.0
PAD-01-C02-F01-M06,PAD-01-C02-F01,6,10000.0,96000.0
PAD-01-C02-F01-M07,PAD-01-C02-F01,7,10000.0,96000.0
PAD-01-C02-F01-M08,PAD-01-C02-F01,8,10000.0,96000.0
PAD-01-C02-F01-M09,PAD-01-C02-F01,9,10000.0,96000.0
PAD-01-C02-F01-M10,PAD-01-C02-F01,10,14167.0,136000.0
PAD-01-C02-F02-M01,PAD-01-C02-F02,1,10000.0,96000.0
PAD-01-C02-F02-M02,PAD-01-C02-F02,2,10000.0,96000.0
PAD-01-C02-F02-M03,PAD-01-C02-F02,3,10000.0,96000.0
PAD-01-C02-F02-M04,PAD-01-C02-F02,4,10000.0,96000.0
PAD-01-C02-F02-M05,PAD-01-C02-F02,5,10000.0,96000.0
PAD-01-C02-F02-M06,PAD-01-C02-F02,6,10000.0,96000.0
PAD-01-C02-F02-M07,PAD-01-C02-F02,7,10000.0,96000.0
PAD-01-C02-F02-M08,PAD-01-C02-F02,8,10000.0,96000.0
PAD-01-C02-F02-M09,PAD-01-C02-F02,9,10000.0,96000.0
PAD-01-C02-F02-M10,PAD-01-C02-F02,10,14167.0,136000.0
PAD-01-C02-F03-M01,PAD-01-C02-F03,1,10000.0,96000.0
PAD-01-C02-F03-M02,PAD-01-C02-F03,2,10000.0,96000.0
PAD-01-C02-F03-M03,PAD-01-C02-F03,3,10000.0,96000.0
PAD-01-C02-F03-M04,PAD-01-C02-F03,4,10000.0,96000.0
PAD-01-C02-F03-M05,PAD-01-C02-F03,5,10000.0,96000.0
PAD-01-C02-F03-M06,PAD-01-C02-F03,6,10000.0,96000.0
PAD-01-C02-F03-M07,PAD-01-C02-F03,7,10000.0,96000.0
PAD-01-C02-F03-M08,PAD-01-C02-F03,8,10000.0,96000.0
PAD-01-C02-F03-M09,PAD-01-C02-F03,9,10000.0,96000.0
PAD-01-C02-F03-M10,PAD-01-C02-F03,10,14167.0,136000.0
PAD-01-C02-F04-M01,PAD-01-C02-F04,1,10000.0,96000.0
PAD-01-C02-F04-M02,PAD-01-C02-F04,2,10000.0,96000.0
PAD-01-C02-F04-M03,PAD-01-C02-F04,3,10000.0,96000.0
PAD-01-C02-F04-M04,PAD-01-C02-F04,4,10000.0,96000.0
PAD-01-C02-F04-M05,PAD-01-C02-F04,5,10000.0,96000.0
PAD-01-C02-F04-M06,PAD-01-C02-F04,6,10000.0,96000.0
PAD-01-C02-F04-M07,PAD-01-C02-F04,7,10000.0,96000.0
PAD-01-C02-F04-M08,PAD-01-C02-F04,8,10000.0,96000.0
PAD-01-C02-F04-M09,PAD-01-C02-F04,9,10000.0,96000.0
PAD-01-C02-F04-M10,PAD-01-C02-F04,10,14167.0,136000.0
PAD-01-C02-F05-M01,PAD-01-C02-F05,1,10000.0,96000.0
PAD-01-C02-F05-M02,PAD-01-C02-F05,2,10000.0,96000.0
PAD-01-C02-F05-M03,PAD-01-C02-F05,3,10000.0,96000.0
PAD-01-C02-F05-M04,PAD-01-C02-F05,4,10000.0,96000.0
PAD-01-C02-F05-M05,PAD-01-C02-F05,5,10000.0,96000.0
PAD-01-C02-F05-M06,PAD-01-C02-F05,6,10000.0,96000.0
PAD-01-C02-F05-M07,PAD-01-C02-F05,7,10000.0,96000.0
PAD-01-C02-F05-M08,PAD-01-C02-F05,8,10000.0,96000.0
PAD-01-C02-F05-M09,PAD-01-C02-F05,9,10000.0,96000.0
PAD-01-C02-F05-M10,PAD-01-C02-F05,10,14167.0,136000.0
PAD-01-C02-F06-M01,PAD-01-C02-F06,1,10000.0,96000.0
PAD-01-C02-F06-M02,PAD-01-C02-F06,2,10000.0,96000.0
PAD-01-C02-F06-M03,PAD-01-C02-F06,3,10000.0,96000.0
PAD-01-C02-F06-M04,PAD-01-C02-F06,4,10000.0,96000.0
PAD-01-C02-F06-M05,PAD-01-C02-F06,5,10000.0,96000.0
PAD-01-C02-F06-M06,PAD-01-C02-F06,6,10000.0,96000.0
PAD-01-C02-F06-M07,PAD-01-C02-F06,7,10000.0,96000.0
PAD-01-C02-F06-M08,PAD-01-C02-F06,8,10000.0,96000.0
PAD-01-C02-F06-M09,PAD-01-C02-F06,9,10000.0,96000.0
PAD-01-C02-F06-M10,PAD-01-C02-F06,10,14167.0,136000.0
PAD-01-C02-F07-M01,PAD-01-C02-F07,1,10000.0,96000.0
PAD-01-C02-F07-M02,PAD-01-C02-F07,2,10000.0,96000.0
PAD-01-C02-F07-M03,PAD-01-C02-F07,3,10000.0,96000.0
PAD-01-C02-F07-M04,PAD-01-C02-F07,4,10000.0,96000.0
PAD-01-C02-F07-M05,PAD-01-C02-F07,5,10000.0,96000.0
PAD-01-C02-F07-M06,PAD-01-C02-F07,6,10000.0,96000.0
PAD-01-C02-F07-M07,PAD-01-C02-F07,7,10000.0,96000.0
PAD-01-C02-F07-M08,PAD-01-C02-F07,8,10000.0,96000.0
PAD-01-C02-F07-M09,PAD-01-C02-F07,9,10000.0,96000.0
PAD-01-C02-F07-M10,PAD-01-C02-F07,10,14167.0,136000.0
