periodo,mineral_alimentado_ton,ley_cu_alimentada,vol_pls_m3,cu_pls_gpl,acid_pls_gpl,vol_refino_m3,cu_refino_gpl,acid_refino_gpl,vol_acuoso_cargado_m3,cu_acuoso_cargado_gpl,vol_electrolito_rico_m3,cu_electrolito_rico_gpl,acid_electrolito_rico_gpl,vol_electrolito_pobre_m3,cu_electrolito_pobre_gpl,acid_electrolito_pobre_gpl,catodos_ton,eficiencia_corriente,acid_makeup_ton,pilas_activas_inventario
2024-01,2000000.0,0.7695,263654.7,2.61,4.299,279475.4,0.353,10.531,263654.7,2.61,41700.01,44.0,168.0,40866.01,31.0,188.0,523.127,91.0,325.714,"[{""id_pila"": ""PAD-01-C01-F02"", ""fecha_on"": ""2024-01-27"", ""fecha_off"": ""2024-05-26"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.768, ""cu_remanente_t"": 2389.13, ""recuperacion_pct"": 45.2, ""acid_ratio_kgkg"": 1.7, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C01-F03"", ""fecha_on"": ""2024-01-25"", ""fecha_off"": ""2024-05-24"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.771, ""cu_remanente_t"": 3082.89, ""recuperacion_pct"": 41.28, ""acid_ratio_kgkg"": 3.51, ""estado"": ""regando""}]"
2024-02,1000000.0,0.609,1481635.0,3.002,5.921,1571016.0,0.358,11.031,1481635.0,3.002,275026.11,44.0,168.0,269525.58,31.0,188.0,3450.203,92.0,1540.204,"[{""id_pila"": ""PAD-01-C01-F02"", ""fecha_on"": ""2024-01-27"", ""fecha_off"": ""2024-05-26"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.768, ""cu_remanente_t"": 1766.76, ""recuperacion_pct"": 59.48, ""acid_ratio_kgkg"": 1.65, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C01-F03"", ""fecha_on"": ""2024-01-25"", ""fecha_off"": ""2024-05-24"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.771, ""cu_remanente_t"": 2391.58, ""recuperacion_pct"": 54.45, ""acid_ratio_kgkg"": 2.38, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C01-F04"", ""fecha_on"": ""2024-02-17"", ""fecha_off"": ""2024-06-16"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.609, ""cu_remanente_t"": 1841.63, ""recuperacion_pct"": 50.49, ""acid_ratio_kgkg"": 2.05, ""estado"": ""regando""}]"
2024-03,2000000.0,0.549,2804621.3,2.634,5.307,2211704.1,0.367,11.285,2804621.3,2.634,465279.56,44.0,168.0,455973.96,31.0,188.0,5836.932,93.0,1813.06,"[{""id_pila"": ""PAD-01-C01-F02"", ""fecha_on"": ""2024-01-27"", ""fecha_off"": ""2024-05-26"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.768, ""cu_remanente_t"": 1493.47, ""recuperacion_pct"": 65.75, ""acid_ratio_kgkg"": 2.12, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C01-F03"", ""fecha_on"": ""2024-01-25"", ""fecha_off"": ""2024-05-24"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.771, ""cu_remanente_t"": 2122.27, ""recuperacion_pct"": 59.58, ""acid_ratio_kgkg"": 2.96, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C01-F04"", ""fecha_on"": ""2024-02-17"", ""fecha_off"": ""2024-06-16"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.609, ""cu_remanente_t"": 1385.72, ""recuperacion_pct"": 62.75, ""acid_ratio_kgkg"": 2.5, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C01-F05"", ""fecha_on"": ""2024-03-03"", ""fecha_off"": ""2024-07-01"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.654, ""cu_remanente_t"": 1719.76, ""recuperacion_pct"": 52.88, ""acid_ratio_kgkg"": 2.36, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C01-F06"", ""fecha_on"": ""2024-03-15"", ""fecha_off"": ""2024-07-13"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.444, ""cu_remanente_t"": 1552.38, ""recuperacion_pct"": 56.15, ""acid_ratio_kgkg"": 2.04, ""estado"": ""regando""}]"
2024-04,1000000.0,0.686,3801384.2,2.38,4.478,1936892.1,0.372,10.972,3801384.2,2.38,589167.9,44.0,168.0,577384.54,31.0,188.0,7391.111,90.0,1626.044,"[{""id_pila"": ""PAD-01-C01-F02"", ""fecha_on"": ""2024-01-27"", ""fecha_off"": ""2024-05-26"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.768, ""cu_remanente_t"": 1410.54, ""recuperacion_pct"": 67.65, ""acid_ratio_kgkg"": 2.73, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C01-F03"", ""fecha_on"": ""2024-01-25"", ""fecha_off"": ""2024-05-24"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.771, ""cu_remanente_t"": 2048.34, ""recuperacion_pct"": 60.98, ""acid_ratio_kgkg"": 3.72, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C01-F04"", ""fecha_on"": ""2024-02-17"", ""fecha_off"": ""2024-06-16"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.609, ""cu_remanente_t"": 1295.44, ""recuperacion_pct"": 65.18, ""acid_ratio_kgkg"": 3.3, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C01-F05"", ""fecha_on"": ""2024-03-03"", ""fecha_off"": ""2024-07-01"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.654, ""cu_remanente_t"": 1586.87, ""recuperacion_pct"": 56.52, ""acid_ratio_kgkg"": 3.3, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C01-F06"", ""fecha_on"": ""2024-03-15"", ""fecha_off"": ""2024-07-13"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.444, ""cu_remanente_t"": 1164.44, ""recuperacion_pct"": 67.11, ""acid_ratio_kgkg"": 2.61, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C01-F07"", ""fecha_on"": ""2024-04-02"", ""fecha_off"": ""2024-07-31"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.686, ""cu_remanente_t"": 1678.35, ""recuperacion_pct"": 59.16, ""acid_ratio_kgkg"": 2.18, ""estado"": ""regando""}]"
2024-05,0.0,0.0,3645970.2,1.742,4.569,1508576.6,0.366,11.156,3645970.2,1.742,410451.57,44.0,168.0,402242.54,31.0,188.0,5149.115,91.0,1132.805,"[{""id_pila"": ""PAD-01-C01-F02"", ""fecha_on"": ""2024-01-27"", ""fecha_off"": ""2024-05-26"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.768, ""cu_remanente_t"": 1401.22, ""recuperacion_pct"": 67.86, ""acid_ratio_kgkg"": 3.35, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F03"", ""fecha_on"": ""2024-01-25"", ""fecha_off"": ""2024-05-24"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.771, ""cu_remanente_t"": 2035.83, ""recuperacion_pct"": 61.22, ""acid_ratio_kgkg"": 4.32, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F04"", ""fecha_on"": ""2024-02-17"", ""fecha_off"": ""2024-06-16"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.609, ""cu_remanente_t"": 1288.91, ""recuperacion_pct"": 65.35, ""acid_ratio_kgkg"": 4.03, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C01-F05"", ""fecha_on"": ""2024-03-03"", ""fecha_off"": ""2024-07-01"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.654, ""cu_remanente_t"": 1579.57, ""recuperacion_pct"": 56.72, ""acid_ratio_kgkg"": 4.19, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C01-F06"", ""fecha_on"": ""2024-03-15"", ""fecha_off"": ""2024-07-13"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.444, ""cu_remanente_t"": 1142.28, ""recuperacion_pct"": 67.73, ""acid_ratio_kgkg"": 3.49, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C01-F07"", ""fecha_on"": ""2024-04-02"", ""fecha_off"": ""2024-07-31"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.686, ""cu_remanente_t"": 1516.77, ""recuperacion_pct"": 63.1, ""acid_ratio_kgkg"": 3.25, ""estado"": ""regando""}]"
2024-06,0.0,0.0,2265260.0,1.901,4.018,498279.9,0.385,11.629,2265260.0,1.901,291093.68,44.0,168.0,285271.8,31.0,188.0,3651.77,92.0,803.389,"[{""id_pila"": ""PAD-01-C01-F02"", ""fecha_on"": ""2024-01-27"", ""fecha_off"": ""2024-05-26"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.768, ""cu_remanente_t"": 1401.22, ""recuperacion_pct"": 67.86, ""acid_ratio_kgkg"": 3.35, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F03"", ""fecha_on"": ""2024-01-25"", ""fecha_off"": ""2024-05-24"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.771, ""cu_remanente_t"": 2035.83, ""recuperacion_pct"": 61.22, ""acid_ratio_kgkg"": 4.32, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F04"", ""fecha_on"": ""2024-02-17"", ""fecha_off"": ""2024-06-16"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.609, ""cu_remanente_t"": 1286.62, ""recuperacion_pct"": 65.41, ""acid_ratio_kgkg"": 4.15, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F05"", ""fecha_on"": ""2024-03-03"", ""fecha_off"": ""2024-07-01"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.654, ""cu_remanente_t"": 1572.94, ""recuperacion_pct"": 56.91, ""acid_ratio_kgkg"": 4.65, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C01-F06"", ""fecha_on"": ""2024-03-15"", ""fecha_off"": ""2024-07-13"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.444, ""cu_remanente_t"": 1164.85, ""recuperacion_pct"": 67.09, ""acid_ratio_kgkg"": 3.93, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C01-F07"", ""fecha_on"": ""2024-04-02"", ""fecha_off"": ""2024-07-31"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.686, ""cu_remanente_t"": 1527.65, ""recuperacion_pct"": 62.83, ""acid_ratio_kgkg"": 4.16, ""estado"": ""regando""}]"
2024-07,0.0,0.0,1018813.6,2.085,3.202,109288.5,0.434,10.729,1018813.6,2.085,146950.75,44.0,168.0,144011.74,31.0,188.0,1843.497,93.0,405.569,"[{""id_pila"": ""PAD-01-C01-F02"", ""fecha_on"": ""2024-01-27"", ""fecha_off"": ""2024-05-26"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.768, ""cu_remanente_t"": 1401.22, ""recuperacion_pct"": 67.86, ""acid_ratio_kgkg"": 3.35, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F03"", ""fecha_on"": ""2024-01-25"", ""fecha_off"": ""2024-05-24"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.771, ""cu_remanente_t"": 2035.83, ""recuperacion_pct"": 61.22, ""acid_ratio_kgkg"": 4.32, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F04"", ""fecha_on"": ""2024-02-17"", ""fecha_off"": ""2024-06-16"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.609, ""cu_remanente_t"": 1286.62, ""recuperacion_pct"": 65.41, ""acid_ratio_kgkg"": 4.15, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F05"", ""fecha_on"": ""2024-03-03"", ""fecha_off"": ""2024-07-01"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.654, ""cu_remanente_t"": 1572.94, ""recuperacion_pct"": 56.91, ""acid_ratio_kgkg"": 4.65, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F06"", ""fecha_on"": ""2024-03-15"", ""fecha_off"": ""2024-07-13"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.444, ""cu_remanente_t"": 1167.89, ""recuperacion_pct"": 67.01, ""acid_ratio_kgkg"": 4.11, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F07"", ""fecha_on"": ""2024-04-02"", ""fecha_off"": ""2024-07-31"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.686, ""cu_remanente_t"": 1562.09, ""recuperacion_pct"": 61.99, ""acid_ratio_kgkg"": 4.64, ""estado"": ""regando""}]"
2024-08,1000000.0,0.393,42937.5,1.528,4.108,46877.7,0.384,11.118,42937.5,1.528,3369.8,44.0,168.0,3302.41,31.0,188.0,42.274,90.0,62.061,"[{""id_pila"": ""PAD-01-C01-F02"", ""fecha_on"": ""2024-01-27"", ""fecha_off"": ""2024-05-26"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.768, ""cu_remanente_t"": 1401.22, ""recuperacion_pct"": 67.86, ""acid_ratio_kgkg"": 3.35, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F03"", ""fecha_on"": ""2024-01-25"", ""fecha_off"": ""2024-05-24"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.771, ""cu_remanente_t"": 2035.83, ""recuperacion_pct"": 61.22, ""acid_ratio_kgkg"": 4.32, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F04"", ""fecha_on"": ""2024-02-17"", ""fecha_off"": ""2024-06-16"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.609, ""cu_remanente_t"": 1286.62, ""recuperacion_pct"": 65.41, ""acid_ratio_kgkg"": 4.15, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F05"", ""fecha_on"": ""2024-03-03"", ""fecha_off"": ""2024-07-01"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.654, ""cu_remanente_t"": 1572.94, ""recuperacion_pct"": 56.91, ""acid_ratio_kgkg"": 4.65, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F06"", ""fecha_on"": ""2024-03-15"", ""fecha_off"": ""2024-07-13"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.444, ""cu_remanente_t"": 1167.89, ""recuperacion_pct"": 67.01, ""acid_ratio_kgkg"": 4.11, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F07"", ""fecha_on"": ""2024-04-02"", ""fecha_off"": ""2024-07-31"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.686, ""cu_remanente_t"": 1562.09, ""recuperacion_pct"": 61.99, ""acid_ratio_kgkg"": 4.64, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C02-F01"", ""fecha_on"": ""2024-08-30"", ""fecha_off"": ""2024-12-28"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.393, ""cu_remanente_t"": 2965.0, ""recuperacion_pct"": 1.82, ""acid_ratio_kgkg"": 6.02, ""estado"": ""regando""}]"
2024-09,2000000.0,0.6935,1248589.4,3.689,5.704,1321487.9,0.377,11.561,1248589.4,3.689,290729.39,44.0,168.0,284914.8,31.0,188.0,3647.2,91.0,1468.048,"[{""id_pila"": ""PAD-01-C01-F02"", ""fecha_on"": ""2024-01-27"", ""fecha_off"": ""2024-05-26"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.768, ""cu_remanente_t"": 1401.22, ""recuperacion_pct"": 67.86, ""acid_ratio_kgkg"": 3.35, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F03"", ""fecha_on"": ""2024-01-25"", ""fecha_off"": ""2024-05-24"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.771, ""cu_remanente_t"": 2035.83, ""recuperacion_pct"": 61.22, ""acid_ratio_kgkg"": 4.32, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F04"", ""fecha_on"": ""2024-02-17"", ""fecha_off"": ""2024-06-16"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.609, ""cu_remanente_t"": 1286.62, ""recuperacion_pct"": 65.41, ""acid_ratio_kgkg"": 4.15, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F05"", ""fecha_on"": ""2024-03-03"", ""fecha_off"": ""2024-07-01"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.654, ""cu_remanente_t"": 1572.94, ""recuperacion_pct"": 56.91, ""acid_ratio_kgkg"": 4.65, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F06"", ""fecha_on"": ""2024-03-15"", ""fecha_off"": ""2024-07-13"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.444, ""cu_remanente_t"": 1167.89, ""recuperacion_pct"": 67.01, ""acid_ratio_kgkg"": 4.11, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F07"", ""fecha_on"": ""2024-04-02"", ""fecha_off"": ""2024-07-31"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.686, ""cu_remanente_t"": 1562.09, ""recuperacion_pct"": 61.99, ""acid_ratio_kgkg"": 4.64, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C02-F01"", ""fecha_on"": ""2024-08-30"", ""fecha_off"": ""2024-12-28"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.393, ""cu_remanente_t"": 892.48, ""recuperacion_pct"": 70.45, ""acid_ratio_kgkg"": 1.93, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C02-F02"", ""fecha_on"": ""2024-09-13"", ""fecha_off"": ""2025-01-11"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.697, ""cu_remanente_t"": 2126.75, ""recuperacion_pct"": 45.05, ""acid_ratio_kgkg"": 1.59, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C02-F03"", ""fecha_on"": ""2024-09-23"", ""fecha_off"": ""2025-01-21"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.69, ""cu_remanente_t"": 3619.35, ""recuperacion_pct"": 13.21, ""acid_ratio_kgkg"": 2.02, ""estado"": ""regando""}]"
2024-10,2000000.0,0.558,2746766.2,2.822,5.627,2330663.0,0.366,11.135,2746766.2,2.822,488065.58,44.0,168.0,478304.27,31.0,188.0,6122.783,92.0,1889.336,"[{""id_pila"": ""PAD-01-C01-F02"", ""fecha_on"": ""2024-01-27"", ""fecha_off"": ""2024-05-26"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.768, ""cu_remanente_t"": 1401.22, ""recuperacion_pct"": 67.86, ""acid_ratio_kgkg"": 3.35, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F03"", ""fecha_on"": ""2024-01-25"", ""fecha_off"": ""2024-05-24"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.771, ""cu_remanente_t"": 2035.83, ""recuperacion_pct"": 61.22, ""acid_ratio_kgkg"": 4.32, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F04"", ""fecha_on"": ""2024-02-17"", ""fecha_off"": ""2024-06-16"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.609, ""cu_remanente_t"": 1286.62, ""recuperacion_pct"": 65.41, ""acid_ratio_kgkg"": 4.15, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F05"", ""fecha_on"": ""2024-03-03"", ""fecha_off"": ""2024-07-01"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.654, ""cu_remanente_t"": 1572.94, ""recuperacion_pct"": 56.91, ""acid_ratio_kgkg"": 4.65, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F06"", ""fecha_on"": ""2024-03-15"", ""fecha_off"": ""2024-07-13"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.444, ""cu_remanente_t"": 1167.89, ""recuperacion_pct"": 67.01, ""acid_ratio_kgkg"": 4.11, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C01-F07"", ""fecha_on"": ""2024-04-02"", ""fecha_off"": ""2024-07-31"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.686, ""cu_remanente_t"": 1562.09, ""recuperacion_pct"": 61.99, ""acid_ratio_kgkg"": 4.64, ""estado"": ""agotada""}, {""id_pila"": ""PAD-01-C02-F01"", ""fecha_on"": ""2024-08-30"", ""fecha_off"": ""2024-12-28"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.393, ""cu_remanente_t"": 0.0, ""recuperacion_pct"": 106.29, ""acid_ratio_kgkg"": 2.13, ""estado"": ""drenando""}, {""id_pila"": ""PAD-01-C02-F02"", ""fecha_on"": ""2024-09-13"", ""fecha_off"": ""2025-01-11"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.697, ""cu_remanente_t"": 49.42, ""recuperacion_pct"": 98.72, ""acid_ratio_kgkg"": 1.58, ""estado"": ""drenando""}, {""id_pila"": ""PAD-01-C02-F03"", ""fecha_on"": ""2024-09-23"", ""fecha_off"": ""2025-01-21"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.69, ""cu_remanente_t"": 2332.88, ""recuperacion_pct"": 44.06, ""acid_ratio_kgkg"": 2.48, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C02-F05"", ""fecha_on"": ""2024-10-17"", ""fecha_off"": ""2025-02-14"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.683, ""cu_remanente_t"": 3868.48, ""recuperacion_pct"": 18.39, ""acid_ratio_kgkg"": 2.6, ""estado"": ""regando""}, {""id_pila"": ""PAD-01-C02-F07"", ""fecha_on"": ""2024-10-11"", ""fecha_off"": ""2025-02-08"", ""ton_mineral"": 1000000.0, ""ley_cu"": 0.433, ""cu_remanente_t"": 2035.67, ""recuperacion_pct"": 22.6, ""acid_ratio_kgkg"": 2.59, ""estado"": ""regando""}]"
