id_franja,fecha,vol_pls_m3,cu_pls_gpl,acid_pls_gpl,fe_total_pls_gpl,fe2_pls_gpl,cl_pls_gpl,sio2_pls_gpl,mn_pls_gpl
PAD-01-C01-F02,2024-01-27,19044.8,1.511,5.34,3.809,1.423,1.41,0.145,0.191
PAD-01-C01-F02,2024-01-28,18015.4,3.009,5.27,4.467,1.263,1.221,0.265,0.159
PAD-01-C01-F02,2024-01-29,18358.4,4.375,5.67,4.041,1.656,1.207,0.152,0.164
PAD-01-C01-F02,2024-01-30,18344.3,4.062,5.27,3.904,1.424,1.203,0.188,0.207
PAD-01-C01-F02,2024-01-31,18836.8,3.996,5.95,4.09,1.601,1.221,0.232,0.168
PAD-01-C01-F02,2024-02-01,19528.5,3.983,5.34,3.807,1.426,1.09,0.147,0.252
PAD-01-C01-F02,2024-02-02,18564.1,3.75,6.04,3.629,1.429,1.16,0.24,0.18
PAD-01-C01-F02,2024-02-03,17347.8,3.767,5.68,3.554,0.931,0.857,0.239,0.121
PAD-01-C01-F02,2024-02-04,19871.4,3.549,6.23,4.098,1.959,0.839,0.207,0.221
PAD-01-C01-F02,2024-02-05,19384.8,3.824,6.09,3.693,1.339,0.8,0.254,0.216
PAD-01-C01-F02,2024-02-06,19744.4,3.584,5.59,3.63,1.495,0.767,0.192,0.116
PAD-01-C01-F02,2024-02-07,20355.3,3.353,6.08,3.685,1.383,0.803,0.251,0.235
PAD-01-C01-F02,2024-02-08,17722.0,3.337,6.08,3.483,1.362,0.76,0.134,0.142
PAD-01-C01-F02,2024-02-09,19467.4,3.586,6.18,3.668,0.965,0.762,0.202,0.155
PAD-01-C01-F02,2024-02-10,18135.1,3.337,5.76,3.565,1.245,0.66,0.15,0.131
PAD-01-C01-F02,2024-02-11,20191.7,3.245,5.8,3.44,0.912,0.68,0.239,0.16
PAD-01-C01-F02,2024-02-12,19215.6,3.421,6.01,3.735,1.227,0.598,0.17,0.201
PAD-01-C01-F02,2024-02-13,18208.0,3.303,6.37,3.506,1.542,0.544,0.268,0.184
PAD-01-C01-F02,2024-02-14,19176.0,3.011,6.69,3.171,0.864,0.52,0.151,0.104
PAD-01-C01-F02,2024-02-15,18204.0,3.199,6.44,3.505,1.621,0.586,0.161,0.123
PAD-01-C01-F02,2024-02-16,19174.9,2.937,6.68,3.477,1.674,0.492,0.24,0.221
PAD-01-C01-F02,2024-02-17,18284.5,2.887,6.82,3.443,1.672,0.462,0.228,0.135
PAD-01-C01-F02,2024-02-18,18527.3,2.817,6.71,3.051,1.013,0.444,0.13,0.198
PAD-01-C01-F02,2024-02-19,19385.6,2.652,6.76,3.431,1.67,0.459,0.185,0.133
PAD-01-C01-F02,2024-02-20,18791.1,2.772,6.63,3.197,1.517,0.485,0.143,0.114
PAD-01-C01-F02,2024-02-21,17857.5,2.596,6.75,3.121,1.246,0.456,0.258,0.166
PAD-01-C01-F02,2024-02-22,18768.0,2.521,6.59,3.352,1.175,0.411,0.288,0.149
PAD-01-C01-F02,2024-02-23,18031.3,2.775,7.13,3.236,0.871,0.405,0.131,0.121
PAD-01-C01-F02,2024-02-24,18585.8,2.614,6.72,2.97,1.093,0.416,0.206,0.182
PAD-01-C01-F02,2024-02-25,18933.8,2.675,7.02,2.878,0.772,0.414,0.206,0.19
PAD-01-C01-F02,2024-02-26,18527.0,2.592,6.89,3.072,1.49,0.391,0.206,0.135
PAD-01-C01-F02,2024-02-27,19710.9,2.326,6.86,2.863,0.948,0.388,0.291,0.113
PAD-01-C01-F02,2024-02-28,18663.0,2.559,6.43,2.986,0.75,0.364,0.22,0.183
PAD-01-C01-F02,2024-02-29,18545.2,2.254,6.89,2.643,1.116,0.38,0.207,0.098
PAD-01-C01-F02,2024-03-01,19178.6,2.267,7.26,2.714,0.903,0.36,0.265,0.137
PAD-01-C01-F02,2024-03-02,18458.3,2.123,6.6,2.588,1.251,0.36,0.217,0.11
PAD-01-C01-F02,2024-03-03,18782.0,2.295,6.61,2.556,1.172,0.35,0.287,0.158
PAD-01-C01-F02,2024-03-04,18217.4,2.196,6.85,2.479,1.15,0.352,0.158,0.155
PAD-01-C01-F02,2024-03-05,17952.4,2.24,6.7,2.701,1.163,0.351,0.246,0.135
PAD-01-C01-F02,2024-03-06,18457.7,2.156,7.08,2.623,1.174,0.344,0.179,0.106
PAD-01-C01-F02,2024-03-07,18100.2,1.967,6.19,2.88,1.289,0.377,0.232,0.161
PAD-01-C01-F02,2024-03-08,18990.5,2.021,5.84,3.037,1.37,0.411,0.255,0.137
PAD-01-C01-F02,2024-03-09,19606.5,1.927,5.6,3.002,0.819,0.395,0.199,0.174
PAD-01-C01-F02,2024-03-10,17955.1,1.954,6.24,3.127,1.078,0.407,0.258,0.135
PAD-01-C01-F02,2024-03-11,18576.1,1.956,5.84,3.213,1.533,0.442,0.291,0.138
PAD-01-C01-F02,2024-03-12,18762.7,1.804,5.93,2.986,0.882,0.418,0.205,0.12
PAD-01-C01-F02,2024-03-13,18346.6,2.003,5.97,3.029,1.361,0.376,0.247,0.153
PAD-01-C01-F02,2024-03-14,17928.2,1.929,5.95,3.136,0.799,0.378,0.232,0.16
PAD-01-C01-F02,2024-03-15,19027.7,1.832,5.94,3.131,0.867,0.35,0.252,0.149
PAD-01-C01-F02,2024-03-16,19647.6,1.87,5.81,3.3,1.379,0.442,0.251,0.151
PAD-01-C01-F02,2024-03-17,18808.2,1.652,6.44,2.828,0.807,0.351,0.207,0.176
PAD-01-C01-F02,2024-03-18,18908.5,1.741,6.42,2.805,1.163,0.337,0.228,0.139
PAD-01-C01-F02,2024-03-19,17723.2,1.612,5.61,2.756,1.123,0.413,0.192,0.157
PAD-01-C01-F02,2024-03-20,18366.0,1.755,6.25,3.038,1.257,0.453,0.187,0.129
PAD-01-C01-F02,2024-03-21,18532.3,1.749,6.71,2.934,1.293,0.437,0.18,0.128
PAD-01-C01-F02,2024-03-22,19068.0,1.566,5.95,3.146,1.022,0.357,0.229,0.159
PAD-01-C01-F02,2024-03-23,17573.7,1.56,6.32,2.542,0.992,0.379,0.167,0.134
PAD-01-C01-F02,2024-03-24,18187.9,1.533,6.46,2.791,0.94,0.393,0.216,0.116
PAD-01-C01-F02,2024-03-25,18470.5,1.596,6.59,2.77,0.794,0.365,0.265,0.118
PAD-01-C01-F02,2024-03-26,18661.7,1.568,6.3,2.686,1.249,0.426,0.305,0.09
PAD-01-C01-F02,2024-03-27,18617.5,1.472,6.03,2.645,1.29,0.442,0.217,0.129
