id_modulo,id_franja,fecha,tipo_solucion,fuente_ils,vol_aplicado_m3,tasa_riego_lhm2,cu_entrada_gpl,acid_entrada_gpl,fe_total_entrada_gpl,fe2_entrada_gpl,cl_entrada_gpl,sio2_entrada_gpl,mn_entrada_gpl
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-01-27,refino,,1967.7,8.2,0.335,11.03,0.952,0.331,0.308,0.082,0.07
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-01-27,refino,,2065.5,8.61,0.312,10.49,0.892,0.307,0.3,0.087,0.078
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-01-27,refino,,1976.4,8.24,0.326,10.43,0.913,0.308,0.289,0.085,0.077
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-01-27,refino,,2046.5,8.53,0.326,10.88,0.951,0.281,0.287,0.079,0.072
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-01-27,refino,,2133.6,8.89,0.315,10.34,0.946,0.296,0.3,0.085,0.078
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-01-27,refino,,2058.3,8.58,0.321,11.16,0.924,0.272,0.266,0.088,0.073
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-01-27,refino,,1857.8,7.74,0.324,10.44,1.028,0.332,0.283,0.081,0.076
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-01-27,refino,,1937.7,8.07,0.311,10.4,1.081,0.381,0.302,0.08,0.08
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-01-27,refino,,2103.9,8.77,0.331,10.76,0.944,0.283,0.314,0.083,0.069
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-01-27,refino,,1915.5,7.98,0.327,10.47,1.06,0.363,0.303,0.083,0.075
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-01-28,refino,,2162.2,9.01,0.327,10.65,1.007,0.297,0.317,0.084,0.078
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-01-28,refino,,1826.5,7.61,0.324,10.81,1.076,0.356,0.289,0.08,0.071
